trip_id,rider_id,route_id,mode,origin_station_id,destination_station_id,board_datetime,alight_datetime,country,province,fare_class,payment_method,transfers,zones_charged,distance_km,base_fare_cad,discount_rate,discount_amount_cad,yvr_addfare_cad,total_fare_cad,on_time_arrival,service_disruption,polyline_stations
T100000,R33247,R111,bus,S021,S004,2024-01-31 10:45:08,2024-01-31 11:12:09,CA,BC,adult,cash,1,1,7.26,3.32,0.0,0.0,0.0,3.32,True,False,S001|S025|S009|S008|S009
T100001,R43159,R033,bus,S005,S025,2024-08-08 00:16:41,2024-08-08 00:44:35,CA,BC,adult,mobile_pay,0,1,11.66,3.17,0.0,0.0,0.0,3.17,True,False,S004|S023|S025|S030|S018|S003|S020
T100002,R18110,R001,bus,S014,S002,2024-05-28 02:42:12,2024-05-28 03:14:48,CA,BC,youth,compass_card,0,1,15.35,3.12,0.32,1.0,0.0,2.12,False,False,S001|S004|S008|S009|S018|S021|S001|S019|S007
T100003,R97939,R023,seabus,S023,S021,2025-06-14 06:40:38,2025-06-14 06:53:33,CA,BC,youth,contactless_cc,1,1,4.74,3.12,0.32,1.0,0.0,2.12,True,False,S023|S018|S014|S008|S016|S020
T100004,R85766,R103,seabus,S009,S027,2024-01-29 18:06:53,2024-01-29 18:21:56,CA,BC,adult,compass_card,0,2,7.99,4.51,0.0,0.0,0.0,4.51,True,False,S028|S001|S026|S027|S006|S024|S014|S011|S009|S005
T100005,R71087,R105,bus,S007,S026,2024-07-30 11:56:32,2024-07-30 12:15:03,CA,BC,adult,compass_card,0,1,8.62,3.16,0.0,0.0,0.0,3.16,True,False,S011|S004|S003|S014|S004
T100006,R65680,R002,skytrain,S012,S029,2024-09-09 10:00:11,2024-09-09 10:11:54,CA,BC,adult,compass_card,0,2,6.34,4.56,0.0,0.0,0.0,4.56,True,False,S012|S021|S009|S027|S002|S025|S015|S019
T100007,R96202,R093,skytrain,S004,S014,2024-10-09 19:40:42,2024-10-09 19:51:28,CA,BC,adult,contactless_cc,0,1,6.76,3.16,0.0,0.0,0.0,3.16,True,False,S003|S019|S010|S028|S021
T100008,R49384,R031,skytrain,S020,S030,2024-04-26 06:57:33,2024-04-26 07:04:24,CA,BC,senior,contactless_cc,0,2,4.37,4.54,0.35,1.59,0.0,2.95,True,False,S028|S012|S020|S007|S024|S003|S002
T100009,R14499,R120,seabus,S022,S008,2024-03-10 22:11:35,2024-03-10 22:24:05,CA,BC,youth,compass_card,0,1,15.78,3.16,0.32,1.01,0.0,2.15,True,False,S025|S010|S003|S029|S008
T100010,R48467,R021,skytrain,S028,S004,2024-12-11 08:56:15,2024-12-11 09:18:43,CA,BC,adult,compass_card,0,2,16.58,4.57,0.0,0.0,0.0,4.57,True,False,S013|S009|S016|S022|S028|S012|S006|S013|S012|S007
T100011,R13436,R008,bus,S022,S009,2024-11-01 03:40:10,2024-11-01 04:08:05,CA,BC,youth,compass_card,0,1,13.59,3.17,0.32,1.01,0.0,2.16,True,False,S023|S022|S021|S003|S021|S022|S006|S019|S025
T100012,R92989,R099,seabus,S008,S006,2024-11-16 07:28:23,2024-11-16 07:42:29,CA,BC,adult,compass_card,0,1,10.51,3.14,0.0,0.0,0.0,3.14,True,False,S015|S013|S009|S022|S024|S018|S008
T100013,R61885,R032,skytrain,S022,S011,2024-10-09 07:08:05,2024-10-09 07:21:16,CA,BC,youth,compass_card,0,2,6.42,4.59,0.32,1.47,0.0,3.12,True,False,S027|S025|S026|S002|S009|S028|S002|S027|S011
T100014,R98891,R057,bus,S013,S009,2024-05-23 21:09:55,2024-05-23 21:25:00,CA,BC,adult,compass_card,0,1,7.11,3.17,0.0,0.0,0.0,3.17,True,False,S003|S008|S020|S030|S023|S011|S007|S022|S016|S013
T100015,R60300,R058,bus,S029,S021,2024-01-13 11:53:20,2024-01-13 12:04:22,CA,BC,adult,contactless_cc,0,1,4.58,3.21,0.0,0.0,0.0,3.21,True,False,S015|S005|S010|S005|S009|S025|S018|S019
T100016,R42093,R055,bus,S009,S025,2024-12-30 22:33:23,2024-12-30 23:01:34,CA,BC,adult,compass_card,0,1,7.92,3.18,0.0,0.0,0.0,3.18,True,False,S019|S014|S030|S019|S013|S012|S008|S005|S018|S016|S003
T100017,R56175,R048,bus,S025,S002,2024-07-15 05:23:51,2024-07-15 06:10:13,CA,BC,adult,mobile_pay,0,1,10.69,3.16,0.0,0.0,0.0,3.16,True,False,S028|S004|S006|S022|S006|S027|S022|S014|S021
T100018,R71389,R047,skytrain,S003,S014,2025-04-16 04:39:12,2025-04-16 04:48:40,CA,BC,adult,compass_card,0,2,6.19,4.57,0.0,0.0,0.0,4.57,True,False,S013|S021|S015|S018|S009|S019
T100019,R19823,R069,bus,S028,S001,2024-11-28 06:49:39,2024-11-28 07:04:19,CA,BC,adult,contactless_cc,0,1,6.56,3.14,0.0,0.0,0.0,3.14,True,False,S022|S025|S004|S023|S030|S018|S026
T100020,R48304,R043,bus,S009,S026,2025-02-16 03:42:35,2025-02-16 04:04:34,CA,BC,adult,compass_card,1,1,8.24,3.1,0.0,0.0,0.0,3.1,True,False,S021|S011|S004|S011|S015|S006|S016|S001
T100021,R92745,R109,bus,S024,S030,2024-05-02 21:14:04,2024-05-02 21:36:37,CA,BC,senior,cash,0,1,9.65,3.34,0.35,1.17,0.0,2.17,True,False,S024|S009|S018|S026|S006|S018|S004|S029|S021|S010
T100022,R42479,R113,bus,S027,S021,2025-01-31 04:19:02,2025-01-31 05:11:14,CA,BC,adult,compass_card,2,1,26.34,3.19,0.0,0.0,0.0,3.19,True,False,S017|S021|S007|S005|S013|S026|S006|S019|S026|S017|S001
T100023,R74895,R111,bus,S020,S011,2024-09-13 11:25:03,2024-09-13 11:44:49,CA,BC,senior,compass_card,1,1,9.56,3.21,0.35,1.12,0.0,2.09,False,False,S016|S001|S005|S013|S030|S027|S026
T100024,R48102,R075,bus,S010,S008,2025-01-17 08:55:45,2025-01-17 09:33:16,CA,BC,senior,compass_card,0,1,8.58,3.14,0.35,1.1,0.0,2.04,False,False,S002|S009|S030|S019|S003|S004|S025|S016|S028
T100025,R64693,R112,wce,S003,S026,2024-07-06 02:03:24,2024-07-06 02:33:12,CA,BC,adult,mobile_pay,0,1,24.2,3.14,0.0,0.0,0.0,3.14,True,False,S018|S026|S005|S006|S023|S016
T100026,R19435,R020,bus,S018,S006,2025-04-14 09:50:19,2025-04-14 10:56:45,CA,BC,adult,cash,0,1,29.36,3.33,0.0,0.0,0.0,3.33,False,False,S009|S018|S029|S020|S014|S007|S019|S026|S024|S023
