event_id,session_id,mode,event_type,event_ts,device_type,os,route_id,vehicle_id,from_station_id,to_station_id,latitude,longitude,speed_kmh,dwell_seconds,door_open,passenger_delta,load_factor,validator_id,inspector_id,incident_code,inspection_outcome,city,country,province
E200000,S3978015038,skytrain,arrival,2024-04-15 00:55:37,vehicle_avl_unit,Android,R101,V0430,S028,S019,49.301816,-123.028468,40.69248435226066,12,True,0,0.45,,,NONE,,Vancouver,CA,BC
E200001,S1017641949,skytrain,tap_off,2025-03-19 15:09:18,vehicle_avl_unit,Android,R002,V0343,S021,S017,49.192346,-123.130478,45.35883126351179,16,False,-8,0.92,VAL00600,,NONE,,Vancouver,CA,BC
E200002,S9355690891,bus,tap_on,2025-06-03 07:41:00,handheld_validator,Linux,R072,V0047,S020,S017,49.330612,-123.141257,17.806143251061215,37,False,1,0.46,VAL00362,,NONE,,Vancouver,CA,BC
E200003,S1037017183,bus,gps_ping,2025-06-09 20:21:27,handheld_validator,Embedded,R033,V0651,S026,S007,49.392097,-123.048958,13.43715838758886,11,False,0,0.92,,,NONE,,Vancouver,CA,BC
E200004,S3446157225,bus,gps_ping,2024-02-23 02:52:53,validator_gate,Linux,R054,V0443,S028,S002,49.303362,-123.025583,34.719117658860554,11,False,0,0.34,,,NONE,,Vancouver,CA,BC
E200005,S9308229521,bus,tap_on,2024-06-05 16:14:17,handheld_validator,RTOS,R082,V0030,S013,S012,49.281976,-123.043098,25.00140533094879,29,False,4,0.47,VAL00607,,NONE,,Vancouver,CA,BC
E200006,S8045831224,bus,fare_inspection,2024-02-07 21:30:46,validator_gate,Android,R031,V0020,S002,S026,49.337221,-123.092539,36.44928747542417,2,False,0,0.36,VAL00760,INS0119,NONE,warning,Vancouver,CA,BC
E200007,S2668499255,wce,gps_ping,2025-04-28 18:16:02,validator_gate,Android,R048,V0262,S008,S003,49.199142,-123.19197,53.63495725394048,27,False,0,0.12,,,NONE,,Vancouver,CA,BC
E200008,S2563291374,bus,gps_ping,2024-04-12 09:14:43,handheld_validator,RTOS,R067,V0319,S023,S006,49.234591,-123.0821,24.504265109307816,31,False,0,0.12,,,NONE,,Vancouver,CA,BC
E200009,S8990573206,bus,gps_ping,2024-10-30 21:58:24,cctv,Android,R017,V0221,S003,S021,49.203054,-123.199128,38.767120772558854,20,False,0,0.38,,,NONE,,Vancouver,CA,BC
E200010,S2591738968,skytrain,gps_ping,2024-12-02 09:15:11,vehicle_avl_unit,Linux,R066,V0073,S023,S018,49.234496,-123.089606,35.201243591220226,21,False,0,0.4,,,NONE,,Vancouver,CA,BC
E200011,S6215825101,skytrain,departure,2024-07-11 20:05:09,handheld_validator,Linux,R015,V0172,S002,S010,49.332602,-123.103655,36.05748530130691,27,False,0,0.55,,,NONE,,Vancouver,CA,BC
E200012,S7882691228,skytrain,tap_on,2024-01-02 11:27:14,vehicle_avl_unit,Android,R042,V0852,S003,S018,49.208828,-123.198845,38.31157407567036,15,False,3,0.65,VAL00800,,NONE,,Vancouver,CA,BC
E200013,S3325825201,bus,gps_ping,2025-04-15 06:48:08,validator_gate,Linux,R032,V0017,S030,S009,49.182011,-123.155198,33.265236403374196,23,False,0,0.61,,,NONE,,Vancouver,CA,BC
E200014,S4292244865,bus,tap_on,2024-09-10 19:14:30,handheld_validator,Embedded,R026,V0631,S015,S005,49.298375,-123.230442,15.210926226990203,26,False,2,0.78,VAL01535,,NONE,,Vancouver,CA,BC
E200015,S8320666311,skytrain,departure,2024-04-17 20:52:07,vehicle_avl_unit,Linux,R065,V0442,S010,S005,49.269714,-123.178618,22.747278607315096,35,False,0,0.5,,,MEDICAL,,Vancouver,CA,BC
E200016,S7448105788,bus,gps_ping,2025-01-08 02:57:24,onboard_sensor,iOS,R026,V0003,S028,S014,49.308338,-123.012099,20.568088393054264,24,False,0,0.57,,,NONE,,Vancouver,CA,BC
E200017,S5607108105,skytrain,gps_ping,2024-04-02 00:30:50,validator_gate,Embedded,R097,V0484,S009,S029,49.234132,-123.114762,44.03748773635194,16,False,0,0.74,,,NONE,,Vancouver,CA,BC
E200018,S1677818310,bus,gps_ping,2025-01-04 19:02:04,validator_gate,iOS,R078,V0640,S030,S006,49.167127,-123.164286,27.264054729407427,16,False,0,0.35,,,NONE,,Vancouver,CA,BC
E200019,S7375818322,bus,tap_on,2024-04-22 11:34:54,handheld_validator,Linux,R020,V0716,S008,S015,49.208423,-123.205362,22.124762704723416,0,False,1,0.3,VAL02086,,NONE,,Vancouver,CA,BC
E200020,S7053269299,skytrain,tap_on,2024-08-15 01:55:55,vehicle_avl_unit,iOS,R038,V0630,S010,S006,49.256546,-123.175038,34.493417331203666,49,False,2,0.2,VAL01082,,NONE,,Vancouver,CA,BC
E200021,S1679066878,bus,door_open,2024-05-28 02:05:20,vehicle_avl_unit,Embedded,R024,V0374,S017,S003,49.177103,-123.022861,19.51366406153206,27,True,0,0.61,,,NONE,,Vancouver,CA,BC
E200022,S7451820249,wce,gps_ping,2024-08-15 05:55:06,validator_gate,Embedded,R119,V0525,S008,S029,49.201208,-123.204895,73.45281239779503,41,False,0,0.94,,,NONE,,Vancouver,CA,BC
